"name","tag"
"SKOGSFRÄKEN","NEW_LOWER_PRICE"
"درپوش 26 سانتی مخصوص ماکروویو ایکیا PRICKIG","NEW_LOWER_PRICE"
"STORSINT","NEW_LOWER_PRICE"
"DVALA","NEW_LOWER_PRICE"
"VILDKORN","NEW_LOWER_PRICE"
"ست 4 تایی رول پرزگیر ایکیا BASTIS","NEW_LOWER_PRICE"
"KLEPPSTAD","NEW_LOWER_PRICE"
"DVALA","NEW_LOWER_PRICE"
"کمد لباس سه درب ایکیا KLEPPSTAD","NEW_LOWER_PRICE"
"ست قابلمه ایکیا ANNONS","NEW_LOWER_PRICE"
"باکس حصیری ایکیا BRANAS، سایز 32x34x32 سانتی‌متر","NEW_LOWER_PRICE"
"ÅFJÄLL","NEW_LOWER_PRICE"
"کیسه حمل وسایل ایکیا FRAKTA آبی","NEW_LOWER_PRICE"
"پادری حمام بژ تیره ایکیا TOFTBO ابعاد 50x80 سانتی متر","NEW_LOWER_PRICE"
"VILDKORN","NEW_LOWER_PRICE"
"SMÅSPORRE","NEW_LOWER_PRICE"
"سطل زباله 3 لیتری بژ ایکیا EKOLN","NEW_LOWER_PRICE"
"MÖJLIGHET","NEW_LOWER_PRICE"
"صافی چای ایکیا MEDARBETARE قطر 8 سانتی متر","NEW_LOWER_PRICE"
"SKOGSOLVON","NEW_LOWER_PRICE"
"ترمز فرش ایکیا STOPP FILT ابعاد 165x235","NEW_LOWER_PRICE"
"شمع استوانه‌ای بدون عطر ایکیا FENOMEN مجموعه ۵ عددی","NEW_LOWER_PRICE"
"سرویس 4 پارچه کفگیر و ملاقه ایکیا GRUNKA","NEW_LOWER_PRICE"
"ست 2 تایی تخته آشپزخانه ایکیا BERGTUNGA قرمز/ آبی","NEW_LOWER_PRICE"
